WEEK,MONTH,YEAR,STORE,CITY,ZIP,BRAND,MOVE,PRICE,QTY,REVENUE,PROFIT,CASE,COSMETIC,HABA,PHARMACY,INCOME,HSIZEAVG,HSIZE1,HSIZE2,HSIZE34,HHLARGE,SINGLE,RETIRED,UNEMP,WORKWOM,WRKCH5,WRKCH17,NWRKCH5,NWRKCH17,WRKCH,NWRKCH,WRKWNCH,move and profit score
173,1,1993,40,BRIDGEVIEW,60455.0,RAVE AERO,73,15.0,15,73.0,120.5,114,0.0,188080.8,0.0,158.25375,40.964574,3.44050815,4.512899399999999,5.1443973000000005,1.902195,3.99717675,2.4917034,2.89356165,4.59161955,0.7133244,1.85228805,1.41655449,1.2449529,2.5656123,2.66150745,3.40878975,193.5
173,1,1993,44,WESTERN SPRINGS,60558.0,OTHERS,8,16.310000000000002,4,21.24,93.16,30,0.0,74925.84,0.0,43.476636,11.113738,0.6922136,1.38605784,1.45617616,0.4655524,0.90579176,0.66685872,0.68760204,1.36317752,0.171408252,0.492176384,0.32147938,0.361308664,0.66358464,0.68278808,1.03548336,101.16
173,1,1993,44,WESTERN SPRINGS,60558.0,RAVE AERO,10,9.0,9,10.0,72.2,66,0.0,168583.13999999998,0.0,97.822431,25.0059105,1.5574806,3.11863014,3.27639636,1.0474929,2.03803146,1.50043212,1.54710459,3.06714942,0.385668567,1.107396864,0.723328605,0.812944494,1.49306544,1.53627318,2.32983756,82.2
173,1,1993,45,WHEELING,60090.0,OTHERS,4,11.27,3,12.86,107.55,24,0.0,32926.649999999994,0.0,32.236134,7.4966955,0.7877027400000001,1.0142199,0.9469257,0.251151615,0.7547999999999999,0.24927387,0.4556016899999999,1.3923378,0.21327849,0.39424209,0.32432433,0.168037602,0.6075205800000001,0.49236192,0.9541764,111.55
173,1,1993,47,ADDISON,60101.0,OTHERS,5,7.760000000000001,4,9.35,170.12,42,0.0,37179.6,0.0,42.541304,11.6975976,0.70248096,1.16819692,1.54639576,0.58292632,1.10084952,0.38503812,0.67328488,1.59210812,0.236050056,0.69124116,0.35644232,0.3395333,0.92729116,0.69597568,0.9950116,175.12
173,1,1993,48,SCHAUMBURG,60193.0,OTHERS,6,6.65,4,10.41,168.57,42,0.0,42438.52,0.0,43.024116,9.411348,1.29962872,1.30387128,1.08255256,0.31394732,1.3363496,0.26656628,0.66490968,1.83873128,0.24495784,0.61239456,0.34616796,0.28309496,0.8573524,0.62926292,1.23233056,174.57
173,1,1993,49,DOWNERS GROVE,60515.0,OTHERS,4,5.0600000000000005,3,6.65,119.39,30,0.0,16334.070000000002,0.0,32.420262,7.758875999999999,0.76651686,0.95730339,0.96876402,0.30741573,0.71181,0.46341738,0.536025,1.03923519,0.113172546,0.35807049,0.27149043,0.206555352,0.47124303,0.47804577,0.7901485500000001,123.39
173,1,1993,50,HICKORY HILLS,60457.0,OTHERS,5,8.05,4,11.04,157.42,36,0.0,29136.8,0.0,42.357232,10.6052696,0.93379152,1.2756014,1.34341348,0.4471936,1.12043868,0.53105968,0.8229432,1.2968508,0.209559588,0.48424128,0.399081616,0.3347944,0.69380088,0.733876,0.94306268,162.42
173,1,1993,51,PALOS HEIGHTS,60463.0,OTHERS,6,11.27,3,18.840000000000003,110.03,24,0.0,31721.85,0.0,31.862517,8.354115,0.5990025,0.94713216,1.06284294,0.39102243,0.7692251999999999,0.4614675299999999,0.56888205,0.9395694,0.146466081,0.3423218879999999,0.28441668,0.282713592,0.48878799,0.56713029,0.71989932,116.03
173,1,1993,52,NORTHBROOK,60062.0,OTHERS,3,4.58,2,7.57,76.91,18,0.0,28994.82,0.0,22.102034,5.3566312,0.41191634,0.6846176,0.699513,0.203953028,0.49072962,0.21291766,0.33468476,0.78695374,0.10174457,0.27140764,0.20029298,0.202157408,0.37315222,0.40245038,0.5544918,79.91
